Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2015-01-02,40.072120666503906,40.637723627896506,39.88358852543826,39.98642453593751,27913900
2015-01-05,39.703636169433594,40.04642405990842,39.635076629879364,39.73791267011193,39673900
2015-01-06,39.12090301513672,40.063574037798006,39.02663525905067,39.74649426022643,36447900
2015-01-07,39.61793899536133,39.81504277912743,38.98377956395717,39.403695325733096,29114100
2015-01-08,40.783424377441406,40.92054019287347,40.037857335348264,40.06356552914837,29645200
2015-01-09,40.44062042236328,40.98051520521483,40.19210033294719,40.80055136729693,23944200
2015-01-12,39.93501663208008,40.74057488016889,39.7293445506395,40.63773557034981,23651900
2015-01-13,39.729347229003906,41.057657347276844,39.47225547532189,40.25210231398012,35270600
2015-01-14,39.386558532714844,39.62651368452833,39.09518698837643,39.386558532714844,29719600
2015-01-15,38.975215911865234,39.7464945870016,38.915227933699036,39.60937874132176,32750800
2015-01-16,39.62650680541992,39.66078330478645,38.70954097901898,38.82952016864711,35695300
2015-01-20,39.75504684448242,39.97786204692915,39.052328010485795,39.67791900811214,36161900
2015-01-21,39.352256774902344,39.54079215976994,38.97518927426455,39.36939665253553,39081100
2015-01-22,40.38922119140625,40.397789500568045,39.48939835085179,39.746490123996026,35898000
2015-01-23,40.43206024169922,40.61202411578102,40.10640899162367,40.586315924940344,26211600
2015-01-26,40.28636932373047,40.38920861624862,39.62650184344603,40.27780101723641,42525500
2015-01-27,36.55854034423828,37.02130746394866,36.087204915984685,36.80706379027893,169164000
2015-01-28,35.29878616333008,36.669947623316524,35.273077968844376,36.62709954280735,84507100
2015-01-29,36.00148391723633,36.09575160023283,34.95597763905881,35.0759535013827,63585300
2015-01-30,34.62178421020508,35.63301476443173,34.57893285370942,35.60730329671443,78004900
2015-02-02,35.37590789794922,35.45303573716678,34.47608528647666,34.784596643346894,50352500
2015-02-03,35.650150299072266,35.93295355165861,35.1788148138611,35.67586176600702,52082400
2015-02-04,35.85580825805664,36.172887863911406,35.4444609471672,35.94150438858025,41614800
2015-02-05,36.37858200073242,36.541406040721455,35.87296672286177,36.181478183135326,36548200
2015-02-06,36.34429168701172,36.669942941683885,36.12147973535092,36.57567521513942,34616600
2015-02-09,36.30144119262695,36.62709242559577,36.17289370697922,36.19860516556778,31381100
